Spanish,English
entiendo,I get it
dentro,within
casi,almost
puerta,gate
ves,you see
pasar,spend
primero,first
significa,it means
semana,week
hacia,towards
quizás,maybe
espero,wait
juntos,together
año,year
niños,kids
pronto,early
tío,uncle
suerte,luck
ciudad,city
siquiera,even
feliz,happy
venir,to come
hija,daughter
gustaría,would like
minutos,minutes
cuánto,how many
os,you
hey,Hey
muerte,death
dejar,let
realidad,reality
deja,let
problemas,problems
vi,saw
da,gives
importante,important
dijiste,said
corazón,heart
miedo,fear
jefe,boss
agua,Water
haré,I will do
justo,just
horas,hours
poder,can
buenos,good ones
esposa,wife
manos,hands
debes,you should
viene,comes
venga,come on
nuestros,our
ojos,eyes
adelante,ahead
encontrar,find
mano,hand
cinco,five
niño,little boy
ninguna,none
otros,others
cara,expensive
cuidado,watch out
bajo,bass
cerca,close
viejo,old
déjame,let me
noches,nights
bastante,Quite
fin,finish
tomar,drink
único,unique
misma,same
escucha,listen
ningún,none
suficiente,enough
punto,point
cuándo,when
sigue,follow
haya,is
equipo,equipment
grande,great
necesita,needs to
llegar,get
incluso,even
algunos,Some
doctor,doctor
difícil,hard
aunque,though
hubiera,had
primer,first
coche,car
hago,I make
clase,class
cuatro,four
mas,plus
dices,You say
pequeño,little
llama,call
toma,taking
hiciste,did
allá,there
última,last
arriba,up
tierra,Earth
guerra,war
pensar,to think
pueda,I can
igual,Same
loco,crazy
sangre,blood
mujeres,women
vuelta,lap
fui,I was
trabajar,to work
tenido,Dyed
juego,play
deberías,you should
cuerpo,Body
e,and
algunas,some
entrar,get in
cree,Believe
podía,could
debemos,must
oportunidad,chance
teléfono,telephone
necesitamos,need
final,final
listo,clever
fiesta,party
muchos,Many
estabas,You were
quieren,They want
vete,go away
auto,auto
dar,to give
vivir,to live
posible,possible
ok,okay
hermana,sister
número,number
meses,months
exactamente,exactly
culpa,fault
abajo,down
escuela,school
ido,gone
fuerte,strong
diciendo,saying
habla,speech
esté,East
ello,it
pregunta,Question
chicas,girls
eran,were
unas,nail
pasando,going
atrás,behind
malo,bad
capitán,captain
sra.,mrs
bebé,baby
segundo,second
sabemos,we know
mayor,elderly
comida,food
morir,To die
conozco,know
dame,give to me
fácil,easy
comer,to eat
vino,came
lista,ready
haga,make
necesitas,you need
hijos,sons
probablemente,probably
padres,fathers
habitación,room
creer,believe
pensando,thinking
fueron,were
dime,tell me
trata,about
buscando,searching
tuve,I had
tampoco,either
amo,love
joven,young man
podrías,could you
sola,alone
par,pair
única,only
hacen,make
seguir,continue
dr.,Dr.
simplemente,simply
dicen,They say
medio,medium
puta,bitch
saben,They know
sentido,sense
hagas,you do
segura,safe
esperar,expect
lejos,far
arma,weapon
alto,tall
pequeña,small
dólares,Dollars
seis,six
estaban,They were
seguridad,security
maldita,damn
estuvo,he was
preocupes,worry
palabra,word
esperando,hoping for
queda,remains
oficina,office
matar,to kill
iré,I will go
cama,bed
además,what's more
último,latest
oído,ear
habría,there would be
estará,will be
dio,it gave
recuerdo,memory
siendo,being
acerca,about
tenga,have
luz,light
correcto,Right
ud.,You.
demonios,demons
nuestras,ours
verte,to see you
dormir,sleep
sitio,place
ayudar,help
conseguir,get
di,gave
marido,husband
paz,peace
idiota,moron
plan,plan
dado,given
cuanto,how much
peor,worse
murió,he died
pueblo,village
vivo,live
venido,I come
john,John
basta,Enough
paso,step
deberíamos,we should
música,music
diga,Say
minuto,minute
anoche,last night
llamar,to call
piensa,think
país,country
digas,you say
rey,king
perdón,sorry
mucha,a lot
falta,lack
pienso,I think
diablos,Devils
perdido,lost
niña,little girl
señorita,Miss
diez,ten
lleva,carries
hospital,hospital
grandes,large
maldito,damned
otras,others
llamado,called
hacemos,we make
llevar,wear
fuego,fire
aqui,here
tuvo,He had
poner,put
calle,street
acaba,just
prueba,Test
increíble,incredible
real,real
libro,book
orden,order
semanas,weeks
especial,special
mía,mine
café,coffee
duro,Lasted
empezar,start
afuera,outside
queremos,we want
perro,dog
cielo,darling
jack,Jack
puesto,Market Stall
viaje,trip
detrás,behind
cuarto,fourth
querida,Dear
haría,would do
preguntas,questions
piensas,You think
querido,Dear
libre,free
buscar,Search
cual,which
diré,I'll say
suena,sounds
jugar,play
cambio,change
película,movie
millones,millions
habrá,there will be
llamada,call
resto,rest
vemos,we see
extraño,weird
mala,bad
presidente,President
srta.,Ms.
irme,Go
ropa,clothing
perder,lose
vuelve,Come back
agente,agent
palabras,words
información,information
raro,rare
hará,will do
entiendes,You understand
éste,East
trabajando,working
tratando,trying
general,general
trato,deal
usar,use
perfecto,perfect
derecho,law
modo,mode
ayer,Yesterday
conoces,you know
demás,the rest
quieras,You want
podríamos,we could
noticias,news
asesino,assassin
encontrado,found
control,control
odio,hatred
frente,front
sexo,sex
decirle,Tell him
estaré,I will be
divertido,funny
armas,weapons
recuerdas,remember
amiga,friend
grupo,cluster
asunto,affair
acabo,finished
mensaje,message
encima,over
atención,attention
diferente,different
uh,UH
cállate,shut
daño,damage
sucede,happens
cambiar,change
siguiente,Next
sino,otherwise
the,The
seas,You are
médico,medical
boca,mouth
dejó,let
error,mistake
jamás,Never
largo,length
pena,grief
voz,voice
futuro,future
siente,Feel
secreto,secret
baño,bath
mil,one thousand
decirte,tell you
sam,Sam
pensaba,thought
novia,girlfriend
propia,own
sueño,sleep
haz,make
fuerza,strength
deben,They must
supone,It supposes
estábamos,We were
ambos,both of them
ay,Oh
estuve,was
encontré,I found
vuelto,turned
dolor,pain
dile,tell him
encanta,loves
edad,age
darle,give him
pie,foot
negro,black
ganar,gain
york,York
aire,air
lamento,lament
verlo,see him
asesinato,murder
vio,he saw
adónde,where to
llegado,arrived
disculpe,excuse me
s,s
cita,date
estaría,It would
fuiste,you were
sistema,system
gusto,taste
pobre,poor
negocio,business
mente,mind
tuyo,yours
campo,countryside
mire,Look
situación,situation
tras,after
hotel,hotel
vosotros,you
funciona,works
foto,Photo
abogado,attorney
loca,crazy
propio,own self
alrededor,around
próxima,next
terminado,finished
hablas,speak
pagar,to pay
mató,killed
llamo,called
personal,staff
sientes,you feel
ocurre,occurs
ésta,is
recuerda,remember
mitad,half
quiera,want
pelo,hair
tenías,You had
viste,dresses
oficial,official
llegó,I arrive
compañía,company
relación,relationship
conoce,known
pase,happens
montón,lot
mejores,top
creí,I believed
cena,Dinner
sentir,feel
través,through
accidente,accident
i,Yo
ellas,they
caja,cash register
tranquilo,calm
bonito,nice
eras,ages
asi,So
pudo,could
vive,it lives
vista,view
estúpido,idiot
línea,line
caballeros,gentlemen
haremos,will
dan,give
quédate,stay
tienda,store
comprar,to buy
entendido,it is understood
centro,center
salvo,except
mes,month
joe,Joe
sol,sun
tonto,fool
hambre,hunger
michael,Michael
mesa,table
respuesta,response
completamente,completely
david,David
carta,letter
totalmente,totally
imposible,impossible
pruebas,tests
novio,boyfriend
normal,normal
gustan,like
frank,Frank
pude,I could
charlie,Charlie
traje,costume
dirección,address
siete,seven
dijeron,They said
placer,pleasure
sean,Sean
tendrá,will have
barco,boat
blanco,white
tom,Tom
profesor,professor
servicio,service
muchacho,young guy
reunión,meeting
dejado,left
ley,law
quisiera,I would like
hubo,there was
george,George
programa,Program
carrera,race
cumpleaños,birthday
muchachos,boys
culo,ass
canción,song
hermosa,beautifull
universidad,college
boda,wedding
decirme,Tell me
cualquiera,any
tengas,Have
hacía,towards
estés,be
sala,living room
llevo,wear
decisión,decision
espere,Wait
don,Don
necesario,necessary
sal,Salt
entra,enters
prisa,rush
carajo,fuck
embargo,embargo
interesante,interesting
tendrás,you will have
escuchar,listen
abuela,grandmother
hicieron,they made
detective,detective
horrible,horrible
suelo,I usually
fotos,Photos
cárcel,jail
acá,here
io,Io
mike,Mike
siéntate,Sit down
decía,He said
intentando,trying
vámonos,Let's go
maldición,damn
silencio,silence
muerta,dead
capaz,capable
salió,he left
club,club
terminar,end up
temo,I fear
broma,joke
gobierno,government
prometo,I promise
cámara,camera
media,half
terrible,terrible
llamó,I call
regalo,gift
amable,gentle
dulce,sweet
muertos,dead
querías,You wanted
ataque,attack
das,you give
navidad,Christmas
negocios,business
pudiera,could
ocho,eight
avión,airplane
investigación,research
acabó,just
juro,I swear
mantener,hold
ejército,army
papel,paper
partes,Parties
ten,Ten
gracioso,funny
diría,would say
principio,beginning
delante,in front of
teniente,lieutenant
deseo,desire
vayas,go
nave,ship
sale,comes out
basura,trash
vine,came
contacto,Contact
esposo,husband
tren,train
encontramos,we find
dale,Go ahead
verdadero,real
tuya,yours
alma,soul
hazlo,do it
disculpa,Sorry
junto,together
anda,walk
tendré,I will have
matrimonio,marriage
saberlo,know
locura,craziness
oro,Prayed
permiso,permission
director,director
peligro,danger
libertad,freedom
alegro,glad
baja,short
tendremos,we will have
derecha,right
encuentra,find
pies,feet
segunda,second
maravilloso,wonderful
espacio,space
rato,little while
abuelo,grandfather
esperaba,I expected
mirando,looking at
salud,Health
sorpresa,surprise
ninguno,none
miren,Look
triste,sad
aun,still
pensado,thought-out
maestro,teacher
según,according to
infierno,hell
podrían,could
tipos,types
tía,aunt
crimen,crime
conocido,known
consejo,tip
ante,in view of
